wav_filename,wav_filesize,transcript
gf1_01_018.wav,116396,alitalia three six four reims one three three decimal eight two good bye
gf1_01_212.wav,129068,roger alitalia three seven zero continue mach point seven six or less
gf1_01_235.wav,121004,iberia three four seven three geneva one two eight one five good bye
gf1_01_054.wav,117548,luxair five five one ah milano one two five eight five good bye
gf1_01_117.wav,74924,iberia three four two two report heading
gf1_01_033.wav,104876,viva nine zero eight one continue present heading
gf1_01_095.wav,121004,belgian airforce three three four contact reims one three four decimal four good bye
gf1_01_035.wav,38060,saudia
gf1_01_047.wav,94508,sabena nine seven zero are you on course to arbos
gf1_01_236.wav,175148,translift five four zero bonjour identified cleared st prex willisau flight level three two zero
gf1_01_163.wav,132524,air inter sierra oscar set course direct to kamas
gf1_01_174.wav,140588,swissair six seven five two contact marseille on ah one two five eight five good bye
gf1_01_019.wav,99116,speedbird five six three bonjour squawk five seven two one
gf1_01_128.wav,91052,airfrans six seven three climb to flight level three six zero
gf1_01_207.wav,49580,call you back for higher
gf1_01_096.wav,132524,sabena nine seven zero contact reims one three four decimal four good bye
gf1_01_137.wav,99116,europa three eight one zurich one two five eight five good bye
gf1_01_161.wav,207404,transwede one oh seven ah bonjour identified cleared passeiry bilsa flight level three three zero
gf1_01_112.wav,104876,alitalia two three four climb to flight level three two zero
gf1_01_145.wav,97964,alitalia two six two set course direct to rolampont
gf1_01_017.wav,187820,lufthansa four seven two three contact zurich on one three four decimal six good bye
gf1_01_068.wav,191276,aero lloyd five six zero bonjour identified cleared passeiry bilsa flight level three three zero
gf1_01_025.wav,107180,luxair five five one resume own navigation direct torino
gf1_01_020.wav,168236,aero lloyd five one seven bonjour identified cleared kines st prex willisau flight level three two zero
gf1_01_051.wav,146348,cross air five one two contact ah geneva one two five decimal eight five good bye
gf1_01_223.wav,58796,and direct to la tour du pin
gf1_01_058.wav,277676,swissair so six seven five two bonjour identified climb to flight level ah two nine zero and ah passeiry kines
gf1_01_064.wav,118700,viva nine zero eight one turn left heading three five zero
gf1_01_168.wav,130220,hapag lloyd six five three contact marseille one two five eight five good bye
gf1_01_029.wav,146348,sabena nine seven zero bonjour identified stop climb flight level three two zero
gf1_01_142.wav,119852,ah air inter sierra kilo climb to flight level ah three zero zero
gf1_01_014.wav,153260,alitalia three zero zero bonjour i'll call you back
gf1_01_049.wav,62252,roger continue present heading
gf1_01_135.wav,101420,alitalia two six two climb to flight level three two zero
gf1_01_099.wav,154412,saudia one five five contact ah reims one three three eight two good bye
gf1_01_121.wav,94508,hapag lloyd one seven one set course direct to bilsa
gf1_01_216.wav,103724,lufthansa four six five two climb to flight level three five zero
gf1_01_165.wav,223532,alitalia three one seven bonjour identified passeiry torino flight level ah two nine zero
gf1_01_075.wav,104876,alitalia three zero zero climb to flight level three two zero
gf1_01_198.wav,165932,november one four five whiskey do a good rate of climb until passing flight level three five zero please
gf1_01_100.wav,124460,lufthansa eight two six eight contact geneva one two eight one five good bye
gf1_01_031.wav,99116,speedbird five eight zero descend to flight level two one zero
gf1_01_162.wav,171692,sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero
gf1_01_107.wav,101420,alitalia two six two bonjour squawk five seven three six
gf1_01_124.wav,84140,roger turn right heading two three five due traffic
gf1_01_034.wav,115244,speedbird five six three contact geneva on one two eight one five good bye
gf1_01_153.wav,156716,cross air two six nine zero climb to flight level three one zero own navigation tour du pin
gf1_01_233.wav,162476,bonjour centennial one five seven identified st prex willisau flight level three two zero
gf1_01_147.wav,125612,bonjour speedbird eight three papa xray squawk ah five seven four six
gf1_01_209.wav,99116,air inter sierra oscar marseille one two five eight five good bye
gf1_01_072.wav,217772,ascot nine three one nine identified cleared ah st prex rolampont flight level three two zero
gf1_01_215.wav,124460,sunwing five two zero three climb to flight level three six zero
gf1_01_205.wav,146348,november one four five whiskey ah thank you contact ah geneva one two eight one five good bye
gf1_01_103.wav,155564,ukay six two five ah bonjour descend to flight level two seven zero
gf1_01_156.wav,62252,german air force four nine zero one
gf1_01_022.wav,126764,speedbird five eight zero bonjour identified call you back for lower
gf1_01_178.wav,127916,l t u seven seven five six ah geneva one two eight one five good bye
gf1_01_080.wav,132524,alitalia three zero zero contact reims one three three eight two good bye
gf1_01_074.wav,140588,cross air six eight zero contact marseille one two five decimal eight five good bye
