client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
xxx-id	gf1_01_033	viva nine zero eight one continue present heading 						en	
xxx-id	gf1_01_040	saudia one five five identified cleared ah st prex dijon flight level three two zero 						en	
xxx-id	gf1_01_166	<FL> </FL> 						en	
xxx-id	gf1_01_123	hamburg air two five four six ah report heading 						en	
xxx-id	gf1_01_117	iberia three four two two report heading 						en	
xxx-id	gf1_01_199	alitalia three seven zero identified aosta st prex dijon flight level three two zero 						en	
xxx-id	gf1_01_212	roger alitalia three seven zero continue mach point seven six or less 						en	
xxx-id	gf1_01_054	luxair five five one ah milano one two five eight five good bye 						en	
xxx-id	gf1_01_235	iberia three four seven three geneva one two eight one five good bye 						en	
xxx-id	gf1_01_119	cross air two six nine zero climb to flight level two nine zero 						en	
xxx-id	gf1_01_018	alitalia three six four reims one three three decimal eight two good bye 						en	
xxx-id	gf1_01_091	swissair six seven five two turn left to kines 						en	
xxx-id	gf1_01_236	translift five four zero bonjour identified cleared st prex willisau flight level three two zero 						en	
xxx-id	gf1_01_229	<FL> </FL> 						en	
xxx-id	gf1_01_098	<FL> </FL> 						en	
xxx-id	gf1_01_010	luxair five five one report heading 						en	
xxx-id	gf1_01_095	belgian airforce three three four contact reims one three four decimal four good bye 						en	
xxx-id	gf1_01_174	swissair six seven five two contact marseille on ah one two five eight five good bye 						en	
xxx-id	gf1_01_019	speedbird five six three bonjour squawk five seven two one 						en	
xxx-id	gf1_01_043	berlin five three three eight contact reims one three four decimal four good bye 						en	
xxx-id	gf1_01_047	sabena nine seven zero are you on course to arbos 						en	
xxx-id	gf1_01_007	alitalia two zero one set course direct to torino 						en	
xxx-id	gf1_01_179	[EMPTY] 						en	
xxx-id	gf1_01_101	aero lloyd five one seven contact now zurich on one three four decimal six good bye 						en	
xxx-id	gf1_01_035	saudia 						en	
xxx-id	gf1_01_011	luxair five five one too short on your way fly heading one eight zero 						en	
xxx-id	gf1_01_169	[EMPTY] 						en	
